# simulator=gym_pybullet,# scenario=flip
t,alpha_err,q_ref0,q_ref1,q_ref2,q_ref3,q_m0,q_m1,q_m2,q_m3,phi_ref,theta_ref,psi_ref,phi,theta,psi,p,q,r,tau_x,tau_y,tau_z,sat_x,sat_y,sat_z,thrust,desat,x,y,z
0.0,0.28872136915409985,1.0,0.0,0.0,0.0,0.9895980798874126,-0.08894530618291764,0.07026167137784042,-0.08858707764886167,0.0,0.0,0.0,-0.19109916093953813,0.12361741865754529,-0.1904231686302032,-0.03763370959790291,-0.015334710205484867,0.06554051876408837,-1.6283712852667411,1.466572268378748,-2.033903628033587,0.0,0.0,0.0,1.9620000000000002,0.06723919906651646,0.0,0.0,60.0
0.001,0.2187232317600197,0.9999987662997035,0.001570795680830879,0.0,0.0,0.9940429065037973,-0.00999748893920525,0.09562266733002461,-0.051332793973099436,0.0031415926535897937,0.0,0.0,-0.03024308248070638,0.1902248259543081,-0.10607459663571579,-0.16147102777302672,0.11700279441693345,0.05768573905285105,0.41470581290416847,1.4460524761596563,-1.2543934956310996,0.0,0.0,0.0,1.9620000000000002,0.11183694675781877,5.665541555143573e-11,6.30948273886058e-11,60.000000005208335
0.002,0.1575020085887485,0.9999950652018582,0.0031415874858795635,0.0,0.0,0.9968749814449707,0.009765705345973926,0.07576564367607123,0.02011142974867573,0.006283185307179587,0.0,0.0,0.022779867952166574,0.1512408610949016,0.04206946665757986,-0.159105625147355,0.35437462778343254,0.03874888080846119,0.7691002443393278,0.09654324830411043,0.25199157478339385,0.0,0.0,0.0,1.9620000000000002,0.24040095890713148,9.844157340960052e-10,9.684720210849518e-10,60.00000002041656
0.003,0.27764585750709586,0.999988896715596,0.004712371539373423,0.0,0.0,0.9903756801948379,0.0031573529486474813,-0.10000060352298336,-0.0956343165187519,0.00942477796076938,0.0,0.0,0.025893632326064373,-0.19877890531219974,-0.19511261828948914,0.229084195562394,0.44639425956273304,-0.055943157229564694,-0.9465307877891365,-3.776553613380762,-1.698317264315715,0.0,0.0,0.0,1.9620000000000002,0.04406051385650754,5.4057553680189595e-09,3.860801263686232e-09,60.00000004562384
0.004,0.2689679291695198,0.9999802608561371,0.006283143965558951,0.0,0.0,0.9916183613820637,-0.09997145606389159,-0.003996432704843518,0.08174816125180945,0.012566370614359173,0.0,0.0,-0.20026344258744536,0.008419192783794355,0.16366041042803559,0.14384311610172568,0.23831265716474626,0.0006597368018527242,-2.6993717371347694,-1.0434504143539503,1.6317898018138044,0.0,0.0,0.0,1.9619690654778186,0.055599287430440174,1.7228490030483473e-08,8.41866027686024e-09,60.000000080828045
0.005,0.1550481687442387,0.9999691576447897,0.007853900888711334,0.0,0.0,0.996362097291239,0.08468985508669927,-0.005820326205025677,0.007504887052071867,0.015707963267948967,0.0,0.0,0.16950060470071304,-0.01286983571748389,0.013970936295255927,-0.1995576152151906,0.12226571874374739,0.048584929570654745,2.3354687386750026,-0.6066446616058969,-0.04516085191211194,0.0,0.0,0.0,1.9619690654778186,0.07073087141432807,3.948341919703664e-08,1.3356351089186334e-08,60.00000012594606
0.006,0.15404996686115785,0.9999555871089498,0.009424638433144006,0.0,0.0,0.9966368380283667,0.04694798466316127,-0.06713856861357256,-0.001820006980026407,0.018849555921538756,0.0,0.0,0.09481598851398469,-0.13405580810380185,-0.010021896006453538,0.1439405593943331,0.0782440113619089,-0.09235685945588115,0.1752969168199504,-1.655344723205774,0.32037378017639573,0.0,0.0,0.0,1.9619690654778186,0.11367503068416798,7.362864707388993e-08,1.8483084603004818e-08,60.00000018090221
0.007,0.18297844138563552,0.9999395492821014,0.010995352723218221,0.0,0.0,0.9962562210093592,-0.03439789062776426,-0.05430952684320746,0.057799675730735196,0.02199114857512855,0.0,0.0,-0.07529729084106072,-0.10442571971671728,0.1198407488671013,0.23049082819283814,-0.32599392461396426,-0.10101202904937845,-1.828963308836952,0.20514026615049463,1.5480287020969299,0.0,0.0,0.0,1.9619690654778186,0.10230464523072483,1.2020089321027057e-07,2.3573768585054708e-08,60.000000245695816
0.008,0.21338262963790378,0.9999210442038161,0.012566039883352607,0.0,0.0,0.9952371870395593,-0.06722314930571033,-0.07040020745406551,0.005272619977950585,0.025132741228718343,0.0,0.0,-0.1362970136746005,-0.13987660373547126,0.020158296035331844,-0.1633954330435501,-0.33090981959207616,0.01704139746651919,-0.9408989045091929,-0.08557881968303871,0.019585447321486565,0.0,0.0,0.0,1.9619369804737736,0.2027270895106917,1.7812357644664758e-07,2.7320028543885647e-08,60.00000032032802
0.009,0.2077332189153148,0.9999000719197535,0.014136696038032732,0.0,0.0,0.9956143564774621,-0.0639580292574509,0.041286522141088376,0.054376895451704585,0.02827433388230813,0.0,0.0,-0.12367137044202238,0.08928516707082865,0.10359271073905978,-0.3841594435893215,-0.19764232533545498,0.08063286421930407,-0.02388893730259989,1.6008430376557823,0.7765708768609517,0.0,0.0,0.0,1.9619369804737736,0.12807948922060208,2.4507672075449463e-07,2.9549895427975324e-08,60.00000040471767
