# simulator=gym_pybullet,# scenario=step
t,alpha_err,q_ref0,q_ref1,q_ref2,q_ref3,q_m0,q_m1,q_m2,q_m3,phi_ref,theta_ref,psi_ref,phi,theta,psi,p,q,r,tau_x,tau_y,tau_z,sat_x,sat_y,sat_z,thrust,desat,x,y,z
0.0,0.28872136915409985,1.0,0.0,0.0,0.0,0.9895980798874126,-0.08894530618291764,0.07026167137784042,-0.08858707764886167,0.0,0.0,0.0,-0.19109916093953813,0.12361741865754529,-0.1904231686302032,-0.03763370959790291,-0.015334710205484867,0.06554051876408837,-1.6283712852667411,1.466572268378748,-2.033903628033587,0.0,0.0,0.0,1.9620000000000002,0.06723919906651646,0.0,0.0,0.5
0.001,0.2184125930219912,1.0,0.0,0.0,0.0,0.9940429162890663,-0.009997604001747509,0.09562255330714302,-0.05133279447658422,0.0,0.0,0.0,-0.030243302510550314,0.1902245849684308,-0.10607461395016125,-0.1608180500794443,0.11765577211051276,0.057685740685680865,0.443320120282827,1.4418279777008094,-1.257398852274408,0.0,0.0,0.0,1.9620000000000002,0.11039001441095654,5.67449397326286e-11,6.300530320742507e-11,0.5000000052083317
0.002,0.1581570765310957,1.0,0.0,0.0,0.0,0.9968749214366998,0.009763815614048127,0.07576661495443049,0.02011166262583929,0.0,0.0,0.0,0.0227761368739576,0.15124288303167877,0.04206967654764743,-0.15246446122810964,0.3490395640919192,0.037770310758134425,0.8051341571934011,0.1191740427209329,0.2511520094842481,0.0,0.0,0.0,1.9620000000000002,0.2251430050306684,9.852707045387012e-10,9.641147527480536e-10,0.5000000204165513
0.003,0.2776974385149192,1.0,0.0,0.0,0.0,0.990375993238281,0.003153436704317035,-0.09999830585536842,-0.09563360643778192,0.0,0.0,0.0,0.025885105528715115,-0.19877509532144022,-0.19511023687328882,0.23068418829944873,0.44610061163153225,-0.05692180007541012,-0.8596680191114542,-3.7843685636334974,-1.6849849284539977,0.0,0.0,0.0,1.9620000000000002,0.04481048372366575,5.389908291924906e-09,3.817974086634524e-09,0.5000000456238469
0.004,0.25913820217599975,1.0,0.0,0.0,0.0,0.9916176608705055,-0.09997776809025036,-0.003992372742129592,0.08174913759353862,0.0,0.0,0.0,-0.20027542013665917,0.00842847779181414,0.1636614981682168,0.15116387005077966,0.23229821066660628,0.0006160548164118561,-2.604210842008126,-1.009040297509017,1.632518532605125,0.0,0.0,0.0,1.9619690488329093,0.057593074713314776,1.715208287807689e-08,8.263954342171075e-09,0.5000000808281108
0.005,0.170629966993272,1.0,0.0,0.0,0.0,0.9963628837055446,0.08468095700177501,-0.0058139772799398,0.007505808645531569,0.0,0.0,0.0,0.1694828071764892,-0.012857214685644554,0.013973961705104654,-0.1918070322293612,0.1158211968527019,0.04854129591514668,2.460847268952945,-0.5795643330096036,-0.04404901074995532,0.0,0.0,0.0,1.9619690488329093,0.06844410233859642,3.9271235525000285e-08,1.2972184022004756e-08,0.5000001259462558
0.006,0.1640435412967939,1.0,0.0,0.0,0.0,0.9966380999890672,0.04693338433263314,-0.06713006989861131,-0.0018190109056021176,0.0,0.0,0.0,0.09478622822364001,-0.13403903342960355,-0.010017091105651629,0.1570256906077166,0.07713392062281299,-0.0924004961985242,0.3105649242217964,-1.6511370804634782,0.33322176668205444,0.0,0.0,0.0,1.9619690488329093,0.10608045581804194,7.314941185613909e-08,1.7679181256173614e-08,0.500000180902589
0.007,0.17313138706607192,1.0,0.0,0.0,0.0,0.9962555295309641,-0.034423296370495224,-0.054306027401992606,0.0577997572121329,0.0,0.0,0.0,-0.07534780763681194,-0.1044156747225991,0.11984325627783485,0.26600380972469334,-0.30467660847692224,-0.09739054910549438,-1.752481166308678,0.13258588586783682,1.5455573406646357,0.0,0.0,0.0,1.9619690488329093,0.11039301896232738,1.1929320620807895e-07,2.205125053546056e-08,0.5000002456964777
0.008,0.195336168756038,1.0,0.0,0.0,0.0,0.9952342628401527,-0.06726238138441978,-0.0704041628492814,0.005271429882521759,0.0,0.0,0.0,-0.13637622433921415,-0.13988388257691212,0.020162009822114874,-0.13729494559274624,-0.3190059476134798,0.019124494702391998,-0.7960678453174106,-0.13205946653170897,0.028930618840867187,0.0,0.0,0.0,1.9619370324962544,0.22420937767285076,1.7671313485180996e-07,2.455363462863705e-08,0.5000003203288986
0.009,0.18745023366664368,1.0,0.0,0.0,0.0,0.9956110155309695,-0.06401547224608545,0.04128118194023905,0.05437452605879952,0.0,0.0,0.0,-0.12378739189315632,0.08928018160291466,0.10358343746765192,-0.3388340121901955,-0.20496370582601606,0.08271576152277477,0.075026603839073,1.6454784621088452,0.7566274750848914,0.0,0.0,0.0,1.9619370324962544,0.12094986007856733,2.4323531827224905e-07,2.4714753278917786e-08,0.5000004047186326
0.01,0.1733505286404908,1.0,0.0,0.0,0.0,0.9962460503212105,0.003990407635391774,-0.08486156928565095,0.016625219537445772,0.0,0.0,0.0,0.005204247311802874,-0.17003687181963462,0.032929105093680355,-0.33484018551983946,-0.054888320073478526,0.02467601464110995,1.4191688947871934,-1.4776781054191046,0.23380033218447566,0.0,0.0,0.0,1.9619370324962544,0.07183494571030073,3.1658499149733703e-07,2.461102268839695e-08,0.5000004987910255
0.011,0.1950452808806081,1.0,0.0,0.0,0.0,0.9952484349710115,-0.05974476787899492,-0.07104372106505798,-0.029392262520396555,0.0,0.0,0.0,-0.1162313585129917,-0.1454365373472658,-0.05057144699260964,-0.24678984968164933,-0.06938986639945781,-0.04205136253102281,-0.2077359588533011,-1.1433149557033282,-0.41963980028383985,0.0,0.0,0.0,1.9619370324962544,0.1540244299817205,3.955725494028174e-07,2.7593194011861843e-08,0.5000006025463831
0.012,0.23968330445338895,1.0,0.0,0.0,0.0,0.9928275795683983,0.08181949351277057,-0.06073559848748632,0.06253123064546237,0.0,0.0,0.0,0.15685468278267223,-0.1312086528207479,0.11547355141742564,-0.2700939396659916,-0.43066827727934054,0.045835633022717856,2.7167656289193776,0.5079611393676358,1.067282080818376,0.0,0.0,0.0,1.9619054186480742,0.06452996138536159,4.795774282834143e-07,3.639831214275001e-08,0.500000715983832
0.013,0.2377526373474416,1.0,0.0,0.0,0.0,0.9929425274077434,0.022512895871683567,0.10493710014530315,0.050462974522793094,0.0,0.0,0.0,0.05654254072922238,0.2076090502852327,0.10744801696778276,0.008828719310252982,-0.4224036246968442,0.0341980956846135,0.4149430401926594,3.78835650169344,0.8724671077174078,0.0,0.0,0.0,1.9619054186480742,0.04950670104813141,5.661915248585118e-07,5.315147751985394e-08,0.5000008390204181
0.014,0.11430067475425199,1.0,0.0,0.0,0.0,0.998367363912454,-0.04563115565542054,-0.03132165151069625,0.01411943535311986,0.0,0.0,0.0,-0.09230187723648949,-0.06129082362021475,0.03111468790850484,0.12966015321161367,-0.028623667372318654,0.06962057168024442,-1.4312637259548655,-0.5119383607246504,0.00390642034141947,0.0,0.0,0.0,1.9619054186480742,0.10708690324200053,6.520179565239465e-07,7.893787137942413e-08,0.5000009715798249
0.015,0.2398710144528271,1.0,0.0,0.0,0.0,0.9928163543614378,-0.008462951183834977,0.06247989110275105,-0.1016874042225119,0.0,0.0,0.0,-0.02973889366800478,0.12264822424031332,-0.2059606480923781,-0.23095959052997025,-0.18801892226713127,-0.07779588431878214,0.7545793384431815,2.001673511123546,-1.7225645471751094,0.0,0.0,0.0,1.9619054186480742,0.07549796959615444,7.350082956139538e-07,1.1357318977348574e-07,0.5000011136619116
0.016,0.2071585354529756,1.0,0.0,0.0,0.0,0.994640461944054,-0.05443713040672413,-0.041151834248121674,0.07767545838175097,0.0,0.0,0.0,-0.11524891456220701,-0.07347178427688406,0.16011202135364258,-0.1167098417806612,0.07728763134560242,0.026240661346087275,-0.6219032410118379,-1.1321872103448432,1.4485465222506702,0.0,0.0,0.0,1.9618748906904957,0.11863028824772774,8.141798148891931e-07,1.5761184251235388e-07,0.5000012652658198
0.016999999999999998,0.16735766885500483,1.0,0.0,0.0,0.0,0.9965009687771281,-0.0167712228302372,-0.06808357116903707,-0.04548815942522137,0.0,0.0,0.0,-0.02749458710494239,-0.13765075664653126,-0.08933699505246047,-0.23245850591003625,-0.12384989267606845,-0.033216941343453335,0.594409567035401,-0.8662718526764677,-0.7768954231306142,0.0,0.0,0.0,1.9618748906904957,0.14245971301399657,8.89233919344556e-07,2.1233588058169976e-07,0.5000014263106238
0.018,0.17956250336023719,1.0,0.0,0.0,0.0,0.9959723699648868,0.06486337700562311,0.04705908996477551,0.04021470678296866,0.0,0.0,0.0,0.1339132236298048,0.0886382055228661,0.08665849685869702,-0.1125755521578577,-0.2880481158014782,0.08757992563521637,1.747569748743893,2.093374262501423,0.45397443311850766,0.0,0.0,0.0,1.9618748906904957,0.054176331455964975,9.59924994949773e-07,2.7917852963872097e-07,0.5000015967213907
0.019,0.1505404079405127,1.0,0.0,0.0,0.0,0.9971685354055885,-0.054385945761664646,-0.04860890811543455,-0.01828264074220092,0.0,0.0,0.0,-0.10741892620188696,-0.09909327928318865,-0.031333279317244944,0.1540088439061243,-0.09098304400617557,-0.006687484623149149,-1.70375429085779,-0.6082459862839887,-0.33890287635142186,0.0,0.0,0.0,1.9618748906904957,0.09000356008359997,1.0243908049310948e-06,3.5942957215575784e-07,0.5000017764954151
0.02,0.20392755888438713,1.0,0.0,0.0,0.0,0.9948061960115906,0.0032892278992731434,0.0629748306823487,0.07989983765506051,0.0,0.0,0.0,0.016739226928977297,0.12509590140374283,0.16133829682612819,-0.16423252996702295,-0.15611325470407433,-0.061520241874940984,0.7227146778535547,1.8839496324632714,1.844077720600974,0.0,0.0,0.0,1.961845798699377,0.0798281425658943,1.0805397157667713e-06,4.532780368966588e-07,0.5000019656309193
0.020999999999999998,0.2209169246968437,1.0,0.0,0.0,0.0,0.9939056642821688,-0.004102675840520204,0.06673369426532873,-0.08764309789407389,0.0,0.0,0.0,-0.020029256325742026,0.13232064134506188,-0.1772331268847766,-0.09636164389173409,-0.022708750068501878,0.04887858069858373,0.3033930587565323,1.425508885580582,-1.9483762806758127,0.0,0.0,0.0,1.961845798699377,0.12035683739437461,1.1267151701665952e-06,5.611888443731994e-07,0.5000021640499319
0.022,0.17434233287165432,1.0,0.0,0.0,0.0,0.996202999176277,-0.04945860990624538,0.06777007819145325,0.023251813698219225,0.0,0.0,0.0,-0.09645192734731065,0.13776084044443412,0.04001308555866764,-0.07412801454306885,0.35044445078378783,-0.05168625683035516,-0.6926601399526322,-0.04637623930608625,0.6717813012858052,0.0,0.0,0.0,1.961845798699377,0.28156282427411417,1.1620659374937667e-06,6.84236393607397e-07,0.5000023716802777
0.023,0.08314385771638043,1.0,0.0,0.0,0.0,0.9991360118067767,-0.022049797596464745,-0.035018824597772474,-0.003836438529923233,0.0,0.0,0.0,-0.04391505305116549,-0.07020397653711301,-0.006137087634589088,-0.3587495209612096,0.2412253069813576,0.05848375001973935,0.9940021319155434,-1.66527771988088,-0.31066377067742207,0.0,0.0,0.0,1.961845798699377,0.07824869204526645,1.1879199017106886e-06,8.230562873947709e-07,0.5000025885222876
0.024,0.23923259799781124,1.0,0.0,0.0,0.0,0.9928544964626704,-0.10203349780127742,-0.05426788258427396,0.029734005786530855,0.0,0.0,0.0,-0.20841419949332468,-0.10186858712411513,0.07054124589911485,-0.1725757244361754,0.03784651149764129,-0.05340524338093458,-1.3503670582808467,-1.2367436976760444,0.8083010892543554,0.0,0.0,0.0,1.9618165900094484,0.08043029145809778,1.2067581095014221e-06,9.792599548274748e-07,0.5000028145752778
0.024999999999999998,0.2697498272385825,1.0,0.0,0.0,0.0,0.9909181588672668,0.09685478441382651,0.001548444892605547,-0.09326283011828483,0.0,0.0,0.0,0.1928983849866047,0.02113624063526101,-0.18563732076920283,-0.41087861077031157,-0.04173243541389865,-0.041146978209172846,3.5806101313577763,0.19789863950770553,-1.7006686895290053,0.0,0.0,0.0,1.9618165900094484,0.05506989258313418,1.2201480586594247e-06,1.1553504688815244e-06,0.5000030497594707
0.026,0.27761070337615606,1.0,0.0,0.0,0.0,0.9903819945089133,-0.08384232377117383,0.101949306727376,0.04147660250073538,0.0,0.0,0.0,-0.1618765222945231,0.21044234338448403,0.06657689376810132,0.035190985031594624,-0.12217429067292682,0.03736366844448671,-1.8176104155498551,2.527683297239227,0.6800773762367607,0.0,0.0,0.0,1.9618165900094484,0.047886768050584165,1.2280604104004512e-06,1.354034302009813e-06,0.5000032939989874
0.027,0.13842371628954803,1.0,0.0,0.0,0.0,0.9976058153098767,-0.05849401920716538,-0.02516180577952549,0.026980928575967913,0.0,0.0,0.0,-0.11847355968257146,-0.04706405438370253,0.056869880994385676,-0.14636335770597583,0.016914559119827158,-0.02119905078613662,-0.5844269533194043,-0.5708943520698184,0.6244147746639047,0.0,0.0,0.0,1.9618165900094484,0.1801075347311201,1.2298166901179202e-06,1.5774508590467552e-06,0.5000035472883237
0.028,0.19114876008763282,1.0,0.0,0.0,0.0,0.9954362444811569,0.006191112231731668,0.0763860661859009,0.056864067698571226,0.0,0.0,0.0,0.021259515189143884,0.15195492001620853,0.11574393039465315,-0.34804844684814884,-0.06901430239449041,0.04776848327234907,1.5160160320272287,1.8037785332959795,0.9462074208820284,0.0,0.0,0.0,1.9617909586890736,0.06267838248107593,1.2255069152051852e-06,1.8270670520480204e-06,0.5000038096237088
