0.58,MANUAL,IDLE,,0,0.0,0.006,-6.002,1.2,0.003,0.002,-0.0,-0.3,-0.0,1.7,-0.008,-0.057,0.051,1.996,14.59,OFF,PAPER,0
0.6,MANUAL,IDLE,,0,0.0,0.006,-6.002,1.2,-0.003,0.001,0.0,-0.3,0.1,1.8,-0.291,0.162,0.041,1.972,10.7,OFF,PAPER,0
0.62,MANUAL,IDLE,,0,0.0,0.006,-6.002,1.2,0.001,-0.002,0.0,-0.2,0.0,1.8,-0.155,-0.199,0.081,1.979,10.87,OFF,PAPER,0
0.64,MANUAL,IDLE,,0,0.0,0.006,-6.002,1.2,-0.003,-0.001,0.0,-0.3,0.0,1.9,0.392,-0.144,0.076,1.976,10.42,OFF,PAPER,0
0.66,MANUAL,IDLE,,0,0.0,0.006,-6.002,1.2,-0.006,-0.009,0.0,-0.4,0.0,2.0,-0.042,0.038,0.118,1.98,14.65,OFF,PAPER,0
0.68,MANUAL,IDLE,,0,0.0,0.006,-6.002,1.2,-0.002,-0.012,0.0,-0.4,0.0,2.1,-0.407,-0.418,0.044,1.979,7.5,OFF,PAPER,0
0.7,MANUAL,IDLE,,0,0.0,0.006,-6.002,1.2,-0.001,-0.008,0.0,-0.4,-0.1,2.1,0.221,0.051,0.042,1.995,11.57,OFF,PAPER,0
0.72,MANUAL,IDLE,,0,0.0,0.006,-6.003,1.2,0.005,-0.014,0.0,-0.4,-0.1,2.2,-0.259,0.059,0.025,1.966,6.73,OFF,PAPER,0
0.74,MANUAL,IDLE,,0,0.0,0.006,-6.003,1.2,0.003,-0.018,0.0,-0.4,-0.1,2.2,-0.307,0.209,0.001,1.974,6.93,OFF,PAPER,0
0.76,MANUAL,IDLE,,0,0.0,0.006,-6.003,1.2,0.004,-0.017,0.0,-0.4,-0.1,2.1,-0.069,0.03,-0.113,1.989,16.41,OFF,PAPER,0
0.78,MANUAL,IDLE,,0,0.0,0.006,-6.004,1.2,0.01,-0.016,0.0,-0.4,-0.1,2.0,-0.168,-0.332,-0.156,1.986,10.81,OFF,PAPER,0
0.8,MANUAL,IDLE,,0,0.0,0.006,-6.004,1.2,0.009,-0.01,0.0,-0.4,-0.0,1.9,0.134,-0.251,0.014,1.983,8.7,OFF,PAPER,0
0.82,MANUAL,IDLE,,0,0.0,0.007,-6.004,1.2,0.011,0.0,0.0,-0.2,-0.1,1.9,0.05,0.246,-0.09,1.973,9.64,OFF,PAPER,0
0.84,MANUAL,IDLE,,0,0.0,0.007,-6.004,1.2,0.005,0.0,0.0,-0.2,0.0,1.7,-0.027,0.026,-0.227,2.005,12.26,OFF,PAPER,0
0.86,MANUAL,IDLE,,0,0.0,0.007,-6.004,1.2,0.005,-0.002,0.0,-0.2,0.1,1.5,-0.065,-0.187,-0.133,1.976,12.74,OFF,PAPER,0
0.88,MANUAL,IDLE,,0,0.0,0.007,-6.004,1.2,0.009,-0.005,0.0,-0.3,0.0,1.4,-0.148,0.239,-0.03,1.966,11.62,OFF,PAPER,0
0.9,MANUAL,IDLE,,0,0.0,0.007,-6.004,1.2,0.013,-0.001,0.0,-0.2,0.0,1.3,-0.075,-0.117,-0.062,1.99,9.61,OFF,PAPER,0
0.92,MANUAL,IDLE,,0,0.0,0.008,-6.004,1.2,0.019,0.006,0.0,-0.1,-0.0,1.3,-0.026,-0.075,-0.03,1.993,12.64,OFF,PAPER,0
0.94,MANUAL,IDLE,,0,0.0,0.008,-6.004,1.2,0.013,0.01,0.0,-0.0,0.1,1.3,0.151,0.469,0.015,1.974,6.45,OFF,PAPER,0
0.96,MANUAL,IDLE,,0,0.0,0.008,-6.004,1.2,0.012,0.003,0.0,-0.2,0.2,1.2,-0.096,0.132,-0.08,2.015,13.42,OFF,PAPER,0
0.98,MANUAL,IDLE,,0,0.0,0.008,-6.004,1.2,0.008,0.002,0.0,-0.2,0.3,1.2,0.254,-0.065,-0.05,1.977,7.24,OFF,PAPER,0
1.0,MANUAL,IDLE,,0,0.0,0.008,-6.004,1.2,0.006,-0.001,0.0,-0.1,0.4,1.1,-0.114,-0.365,-0.052,2.028,17.15,OFF,PAPER,0
1.02,MANUAL,IDLE,,0,0.0,0.009,-6.004,1.2,0.01,-0.008,0.0,-0.3,0.2,1.1,-0.024,0.047,-0.04,1.964,7.37,OFF,PAPER,0
1.04,MANUAL,IDLE,,0,0.0,0.009,-6.004,1.2,0.006,-0.006,0.0,-0.1,0.3,1.0,0.158,0.232,-0.035,2.001,15.91,OFF,PAPER,0
1.06,MANUAL,IDLE,,0,0.0,0.009,-6.004,1.2,0.012,-0.004,0.0,-0.1,0.2,1.0,0.303,0.116,0.04,2.0,11.64,OFF,PAPER,0
